izoneareaid,level,vroleid,expchange,expreason,expsubreason,mapid,sumexp,,54939
1204,44,0X04B402013C336A85,13,20,0,21,413526,,
1204,44,0X04B402013C336A85,13,20,0,21,413619,,
1204,44,0X04B402013C336A85,13,20,0,21,413593,,
1204,44,0X04B402013C336A85,13,20,0,21,413606,,
1204,44,0X04B402013C336A85,14,20,0,21,413647,,
1204,44,0X04B402013C336A85,14,20,0,21,413633,,
1204,44,0X04B402013C336A85,14,20,0,21,413674,,
1204,44,0X04B402013C336A85,13,20,0,21,413660,,
1204,44,0X04B402013C336A85,14,20,0,21,413688,,
1204,42,0X04B402013C336A85,14,20,0,40,428965,,
1204,47,0X04B402013C336A85,2,20,0,15,146440,,
1204,47,0X04B402013C336A85,7040,10,16,15,705611,,
1204,47,0X04B402013C336A85,8096,10,16,10,728843,,
1204,47,0X04B402013C336A85,9152,10,16,15,746471,,
1204,44,0X04B402013C336A85,140,20,0,21,290561,,
1204,44,0X04B402013C336A85,140,20,0,21,290981,,
1204,44,0X04B402013C336A85,140,20,0,21,290841,,
1204,44,0X04B402013C336A85,140,20,0,21,290701,,
1204,44,0X04B402013C336A85,134,20,0,21,291115,,
1204,44,0X04B402013C336A85,140,20,0,21,291255,,
1204,44,0X04B402013C336A85,140,20,0,21,291395,,
1204,44,0X04B402013C336A85,140,20,0,21,291535,,
1204,44,0X04B402013C336A85,140,20,0,21,291675,,
1204,44,0X04B402013C336A85,140,20,0,21,291815,,
1204,44,0X04B402013C336A85,134,20,0,21,291949,,
1204,44,0X04B402013C336A85,140,20,0,21,323471,,
1204,44,0X04B402013C336A85,140,20,0,21,324025,,
1204,44,0X04B402013C336A85,134,20,0,21,323745,,
1204,44,0X04B402013C336A85,134,20,0,21,323331,,
1204,44,0X04B402013C336A85,140,20,0,21,323611,,
1204,44,0X04B402013C336A85,140,20,0,21,323885,,
1204,44,0X04B402013C336A85,134,20,0,21,324159,,
1204,44,0X04B402013C336A85,134,20,0,21,324293,,
1204,44,0X04B402013C336A85,140,20,0,21,324433,,
1204,44,0X04B402013C336A85,140,20,0,21,324573,,
1204,48,0X04B402013C336A85,3,20,0,15,239630,,
1204,46,0X04B402013C336A85,17,20,0,34,920473,,
